question,tag
ভুল করে ২য় বার ভোটার হয়েছি। জানতে পারলাম Match Found. এখন কি করনীয়?,double_voter_registration_issue
"ভুলে দ্বিতীয়বার ভোটার রেজিস্ট্রেশন করেছি, ইসি সিস্টেমে Match Found দেখাচ্ছে, এখন কী করব?",double_voter_registration_issue
"না জেনে আবার ভোটার হয়ে গেছি, NID এ Match Found আসছে, সমাধান কী?",double_voter_registration_issue
"ডাবল ভোটার হয়েছি বুঝলাম, ইসি সিস্টেমে Match Found দেখায়, এখন কীভাবে ঠিক করব?",double_voter_registration_issue
"আমার দুইবার এনরোল হয়ে গেছে, ইসি বলছে Match Found, এখন করণীয় কী?",double_voter_registration_issue
"দুই জায়গায় ভোটার হয়ে গেছি মনে হচ্ছে, ইসি সিস্টেমে Match Found এসেছে, কোথায় যোগাযোগ করব?",double_voter_registration_issue
"দ্বৈত ভোটার হয়ে গেছি ভুলে, ইসিতে Match Found দেখাচ্ছে, এখন কী পদক্ষেপ নেব?",double_voter_registration_issue
"আবার ভোটার এপ্লাই করায় ইসিতে Match Found হয়েছে, এখন বাতিল বা ঠিক করার উপায় কী?",double_voter_registration_issue
"ভুলে ডুপ্লিকেট রেজিস্ট্রেশন হয়েছে, ইসিতে Match Found দেখায়, এখন কী করতে হবে?",double_voter_registration_issue
"দ্বিতীয়বার এনরোল করার পর Match Found দেখাল, ইসি অফিসে যেতে হবে নাকি অনলাইনে হবে?",double_voter_registration_issue
"আমার NID তে দ্বৈত রেকর্ড ধরা পড়েছে Match Found, এখন প্রক্রিয়াটা কী?",double_voter_registration_issue
মোবাইলের সিম বা অন্যান্য ক্ষেত্রে ফিঙ্গারপ্রিন্ট দিলে আমার তথ্য আসেনা। কি করনীয়?,fingerprint_error_info_not_found
"সিম রেজিস্ট্রেশনে ফিঙ্গারপ্রিন্ট দিলে নির্বাচন কমিশনের ডাটাবেসে আমার তথ্য আসে না, কী করব?",fingerprint_error_info_not_found
"বায়োমেট্রিক দিলে ইসির সার্ভারে আমার এনআইডি তথ্য ভেরিফাই হচ্ছে না, করণীয় কী?",fingerprint_error_info_not_found
"মোবাইল সিম বা ব্যাংকে ফিঙ্গারপ্রিন্ট দিলে ইসি থেকে তথ্য মেলে না, এখন কী করা উচিত?",fingerprint_error_info_not_found
"ফিঙ্গারপ্রিন্ট ম্যাচ না হওয়ায় নির্বাচন কমিশনের রেকর্ডে আমার তথ্য উঠছে না, সমাধান কী?",fingerprint_error_info_not_found
"এনআইডি বায়োমেট্রিক ভেরিফিকেশনে বারবার ফেইল দেখায়, নির্বাচন কমিশনের কাছে কীভাবে সমাধান নেব?",fingerprint_error_info_not_found
"সিম নিবন্ধনে ফিঙ্গারপ্রিন্ট দিলেও ইসির ডাটায় আমার রেকর্ড পাওয়া যাচ্ছে না, কী করণীয়?",fingerprint_error_info_not_found
"ফিঙ্গারপ্রিন্ট দিয়ে এনআইডি চেক করলে তথ্য আসছে না, নির্বাচন কমিশনের দিক থেকে কী করতে হবে?",fingerprint_error_info_not_found
"ইসির ডাটাবেসে আমার ফিঙ্গারপ্রিন্ট মেলে না বলে সেবা পাচ্ছি না, এখন কীভাবে ঠিক করব?",fingerprint_error_info_not_found
"ভোটার আইডির বায়োমেট্রিক মেলেনি বলে যাচাই সম্পন্ন হচ্ছে না, নির্বাচন কমিশনের সাথে কীভাবে এগোব?",fingerprint_error_info_not_found
"সিম রেজিস্ট্রেশন সময় ফিঙ্গারপ্রিন্ট নিলে আমার তথ্য ভেরিফাই হয় না, ইসির বিষয়টি কিভাবে সমাধান করতে পারি?",fingerprint_error_info_not_found
ফিঙ্গারপ্রিন্ট আপডেট করতে দিয়ে ধীর্ঘদিন হলো কিন্তু এখনো হচ্ছে না বা Adjudication Pending অবস্থায় আছে। কি করনীয়?,finderprint_adjudication_pending
